#DH(SLy4)+HP EOS for the outer crust, NL3omegarho EOS for the inner crust and core                                            
#    nb/nb0        nb(fm^-3)     eng(MeV/fm^3)  Prs(MeV/fm^3)   eng(g/cm^3)  Pres(dyn/cm^2)    muB(MeV)    mue(MeV)    h=ln(mub/mN)
   0.168919E-01   0.250000E-02   0.235135E+01   0.251000E-02   0.419175E+13   0.402152E+31   0.941543E+03   0.000000E+00   0.270488E-02
   0.202703E-01   0.300000E-02   0.282237E+01   0.310001E-02   0.503144E+13   0.496683E+31   0.941823E+03   0.000000E+00   0.300146E-02
   0.236486E-01   0.350000E-02   0.329319E+01   0.370975E-02   0.587077E+13   0.594376E+31   0.941971E+03   0.000000E+00   0.315938E-02
   0.270270E-01   0.400000E-02   0.376421E+01   0.434909E-02   0.671046E+13   0.696811E+31   0.942140E+03   0.000000E+00   0.333802E-02
   0.304054E-01   0.450000E-02   0.423543E+01   0.502000E-02   0.755049E+13   0.804304E+31   0.942321E+03   0.000000E+00   0.353093E-02
   0.337838E-01   0.500000E-02   0.470664E+01   0.572051E-02   0.839053E+13   0.916540E+31   0.942473E+03   0.000000E+00   0.369150E-02
   0.371622E-01   0.550000E-02   0.517786E+01   0.644075E-02   0.923057E+13   0.103194E+32   0.942600E+03   0.000000E+00   0.382667E-02
   0.405405E-01   0.600000E-02   0.564927E+01   0.718073E-02   0.100710E+14   0.115050E+32   0.942742E+03   0.000000E+00   0.397767E-02
   0.439189E-01   0.650000E-02   0.612049E+01   0.794044E-02   0.109110E+14   0.127222E+32   0.942836E+03   0.000000E+00   0.407645E-02
   0.472973E-01   0.700000E-02   0.659210E+01   0.873961E-02   0.117517E+14   0.140026E+32   0.942977E+03   0.000000E+00   0.422687E-02
   0.506757E-01   0.750000E-02   0.706352E+01   0.955063E-02   0.125921E+14   0.153020E+32   0.943076E+03   0.000000E+00   0.433100E-02
   0.540541E-01   0.800000E-02   0.753513E+01   0.103991E-01   0.134329E+14   0.166615E+32   0.943191E+03   0.000000E+00   0.445322E-02
   0.574324E-01   0.850000E-02   0.800674E+01   0.112595E-01   0.142736E+14   0.180399E+32   0.943294E+03   0.000000E+00   0.456253E-02
   0.608108E-01   0.900000E-02   0.847835E+01   0.121494E-01   0.151144E+14   0.194658E+32   0.943389E+03   0.000000E+00   0.466317E-02
   0.641892E-01   0.950000E-02   0.895016E+01   0.130591E-01   0.159554E+14   0.209233E+32   0.943497E+03   0.000000E+00   0.477742E-02
   0.675676E-01   0.100000E-01   0.942197E+01   0.140003E-01   0.167965E+14   0.224314E+32   0.943597E+03   0.000000E+00   0.488358E-02
   0.810811E-01   0.120000E-01   0.113094E+02   0.180791E-01   0.201613E+14   0.289663E+32   0.943957E+03   0.000000E+00   0.526481E-02
   0.945946E-01   0.140000E-01   0.131978E+02   0.226709E-01   0.235278E+14   0.363233E+32   0.944321E+03   0.000000E+00   0.565047E-02
   0.108108E+00   0.160000E-01   0.150866E+02   0.277600E-01   0.268949E+14   0.444770E+32   0.944650E+03   0.000000E+00   0.599863E-02
   0.121622E+00   0.180000E-01   0.169764E+02   0.334805E-01   0.302639E+14   0.536424E+32   0.944995E+03   0.000000E+00   0.636446E-02
   0.135135E+00   0.200000E-01   0.188666E+02   0.398107E-01   0.336335E+14   0.637847E+32   0.945322E+03   0.000000E+00   0.671016E-02
   0.148649E+00   0.220000E-01   0.207576E+02   0.467408E-01   0.370046E+14   0.748882E+32   0.945653E+03   0.000000E+00   0.705969E-02
   0.162162E+00   0.240000E-01   0.226494E+02   0.543399E-01   0.403771E+14   0.870634E+32   0.945989E+03   0.000000E+00   0.741511E-02
   0.175676E+00   0.260000E-01   0.245416E+02   0.626000E-01   0.437502E+14   0.100298E+33   0.946314E+03   0.000000E+00   0.775865E-02
   0.189189E+00   0.280000E-01   0.264345E+02   0.714699E-01   0.471248E+14   0.114509E+33   0.946642E+03   0.000000E+00   0.810581E-02
   0.202703E+00   0.300000E-01   0.283283E+02   0.810106E-01   0.505008E+14   0.129795E+33   0.946976E+03   0.000000E+00   0.845798E-02
   0.216216E+00   0.320000E-01   0.302224E+02   0.911690E-01   0.538775E+14   0.146071E+33   0.947299E+03   0.000000E+00   0.879943E-02
   0.229730E+00   0.340000E-01   0.321173E+02   0.101939E+00   0.572556E+14   0.163327E+33   0.947626E+03   0.000000E+00   0.914409E-02
   0.243243E+00   0.360000E-01   0.340129E+02   0.113299E+00   0.606347E+14   0.181528E+33   0.947949E+03   0.000000E+00   0.948499E-02
   0.256757E+00   0.380000E-01   0.359092E+02   0.125180E+00   0.640153E+14   0.200564E+33   0.948272E+03   0.000000E+00   0.982628E-02
   0.270270E+00   0.400000E-01   0.378061E+02   0.137649E+00   0.673969E+14   0.220542E+33   0.948593E+03   0.000000E+00   0.101644E-01
   0.283784E+00   0.420000E-01   0.397036E+02   0.150649E+00   0.707796E+14   0.241370E+33   0.948910E+03   0.000000E+00   0.104985E-01
   0.297297E+00   0.440000E-01   0.416017E+02   0.164150E+00   0.741633E+14   0.263002E+33   0.949223E+03   0.000000E+00   0.108282E-01
   0.310811E+00   0.460000E-01   0.435003E+02   0.178129E+00   0.775481E+14   0.285398E+33   0.949532E+03   0.000000E+00   0.111536E-01
   0.324324E+00   0.480000E-01   0.453998E+02   0.192569E+00   0.809342E+14   0.308535E+33   0.949841E+03   0.000000E+00   0.114793E-01
   0.337838E+00   0.500000E-01   0.472999E+02   0.207470E+00   0.843215E+14   0.332408E+33   0.950147E+03   0.000000E+00   0.118010E-01
   0.351351E+00   0.520000E-01   0.492003E+02   0.222780E+00   0.877094E+14   0.356938E+33   0.950444E+03   0.000000E+00   0.121141E-01
   0.364865E+00   0.540000E-01   0.511016E+02   0.238521E+00   0.910988E+14   0.382158E+33   0.950742E+03   0.000000E+00   0.124277E-01
   0.378378E+00   0.560000E-01   0.530034E+02   0.254660E+00   0.944892E+14   0.408017E+33   0.951037E+03   0.000000E+00   0.127374E-01
   0.391892E+00   0.580000E-01   0.549056E+02   0.271230E+00   0.978803E+14   0.434565E+33   0.951325E+03   0.000000E+00   0.130406E-01
   0.405405E+00   0.600000E-01   0.568087E+02   0.288131E+00   0.101273E+15   0.461643E+33   0.951613E+03   0.000000E+00   0.133432E-01
   0.418919E+00   0.620000E-01   0.587121E+02   0.305470E+00   0.104666E+15   0.489424E+33   0.951896E+03   0.000000E+00   0.136402E-01
   0.432432E+00   0.640000E-01   0.606163E+02   0.322330E+00   0.108061E+15   0.516437E+33   0.952166E+03   0.000000E+00   0.139237E-01
   0.445946E+00   0.660000E-01   0.625209E+02   0.340470E+00   0.111456E+15   0.545501E+33   0.952445E+03   0.000000E+00   0.142166E-01
   0.459459E+00   0.680000E-01   0.644261E+02   0.358950E+00   0.114852E+15   0.575109E+33   0.952721E+03   0.000000E+00   0.145066E-01
   0.472973E+00   0.700000E-01   0.663317E+02   0.377850E+00   0.118249E+15   0.605391E+33   0.952993E+03   0.000000E+00   0.147921E-01
   0.486486E+00   0.720000E-01   0.682380E+02   0.397079E+00   0.121648E+15   0.636200E+33   0.953266E+03   0.000000E+00   0.150780E-01
   0.500000E+00   0.740000E-01   0.701448E+02   0.416699E+00   0.125047E+15   0.667636E+33   0.953534E+03   0.000000E+00   0.153595E-01
   0.513514E+00   0.760000E-01   0.720522E+02   0.434360E+00   0.128447E+15   0.695932E+33   0.953770E+03   0.000000E+00   0.156072E-01
   0.527027E+00   0.780000E-01   0.739599E+02   0.455320E+00   0.131848E+15   0.729514E+33   0.954042E+03   0.000000E+00   0.158918E-01
   0.540541E+00   0.800000E-01   0.758683E+02   0.476630E+00   0.135250E+15   0.763656E+33   0.954311E+03   0.000000E+00   0.161745E-01
   0.554054E+00   0.820000E-01   0.777772E+02   0.498059E+00   0.138653E+15   0.797990E+33   0.954577E+03   0.000000E+00   0.164524E-01
   0.558139E+00   0.826046E-01   0.782812E+02   0.575651E+00   0.139552E+15   0.922309E+33   0.954630E+03   0.871538E+02   0.165083E-01
   0.570554E+00   0.844420E-01   0.800355E+02   0.604625E+00   0.142679E+15   0.968730E+33   0.954977E+03   0.883959E+02   0.168716E-01
   0.583245E+00   0.863203E-01   0.818296E+02   0.635353E+00   0.145878E+15   0.101796E+34   0.955337E+03   0.896462E+02   0.172484E-01
   0.596219E+00   0.882404E-01   0.836643E+02   0.667980E+00   0.149148E+15   0.107024E+34   0.955711E+03   0.909046E+02   0.176396E-01
   0.609481E+00   0.902032E-01   0.855406E+02   0.702664E+00   0.152493E+15   0.112581E+34   0.956099E+03   0.921711E+02   0.180463E-01
   0.623038E+00   0.922097E-01   0.874593E+02   0.739582E+00   0.155914E+15   0.118496E+34   0.956504E+03   0.934455E+02   0.184695E-01
   0.636897E+00   0.942608E-01   0.894217E+02   0.778925E+00   0.159412E+15   0.124799E+34   0.956926E+03   0.947278E+02   0.189106E-01
   0.651064E+00   0.963575E-01   0.914285E+02   0.820908E+00   0.162990E+15   0.131526E+34   0.957366E+03   0.960179E+02   0.193708E-01
   0.665546E+00   0.985008E-01   0.934810E+02   0.865766E+00   0.166649E+15   0.138713E+34   0.957827E+03   0.973159E+02   0.198516E-01
   0.680350E+00   0.100692E+00   0.955801E+02   0.913756E+00   0.170391E+15   0.146402E+34   0.958309E+03   0.986217E+02   0.203545E-01
   0.695484E+00   0.102932E+00   0.977271E+02   0.965164E+00   0.174218E+15   0.154639E+34   0.958814E+03   0.999354E+02   0.208812E-01
   0.710954E+00   0.105221E+00   0.999230E+02   0.102031E+01   0.178133E+15   0.163473E+34   0.959343E+03   0.101257E+03   0.214336E-01
   0.726769E+00   0.107562E+00   0.102169E+03   0.107953E+01   0.182137E+15   0.172962E+34   0.959900E+03   0.102587E+03   0.220136E-01
