#DH(SLy4)+HP EOS for the outer crust, NL3omegarho EOS for the inner crust and core                                            
#    nb/nb0        nb(fm^-3)     eng(MeV/fm^3)  Prs(MeV/fm^3)   eng(g/cm^3)  Pres(dyn/cm^2)    muB(MeV)    mue(MeV)    h=ln(mub/mN)
   0.167339E+01   0.247662E+00   0.241162E+03   0.180684E+02   0.429919E+15   0.289492E+35   0.104671E+04   0.157353E+03   0.108591E+00
   0.167507E+01   0.247910E+00   0.241421E+03   0.181410E+02   0.430381E+15   0.290655E+35   0.104700E+04   0.157433E+03   0.108871E+00
   0.167674E+01   0.248158E+00   0.241681E+03   0.182139E+02   0.430844E+15   0.291823E+35   0.104730E+04   0.157514E+03   0.109151E+00
   0.167842E+01   0.248406E+00   0.241941E+03   0.182871E+02   0.431308E+15   0.292996E+35   0.104759E+04   0.157596E+03   0.109433E+00
   0.168010E+01   0.248655E+00   0.242201E+03   0.183606E+02   0.431772E+15   0.294173E+35   0.104789E+04   0.157677E+03   0.109715E+00
   0.168178E+01   0.248903E+00   0.242462E+03   0.184343E+02   0.432237E+15   0.295355E+35   0.104818E+04   0.157758E+03   0.109998E+00
   0.168346E+01   0.249152E+00   0.242723E+03   0.185084E+02   0.432702E+15   0.296542E+35   0.104848E+04   0.157839E+03   0.110281E+00
   0.168515E+01   0.249402E+00   0.242984E+03   0.185828E+02   0.433168E+15   0.297733E+35   0.104878E+04   0.157920E+03   0.110566E+00
   0.168683E+01   0.249651E+00   0.243246E+03   0.186574E+02   0.433635E+15   0.298929E+35   0.104908E+04   0.158001E+03   0.110851E+00
   0.168852E+01   0.249901E+00   0.243508E+03   0.187324E+02   0.434102E+15   0.300130E+35   0.104938E+04   0.158082E+03   0.111137E+00
   0.169021E+01   0.250151E+00   0.243771E+03   0.188077E+02   0.434570E+15   0.301336E+35   0.104968E+04   0.158164E+03   0.111424E+00
   0.169190E+01   0.250401E+00   0.244033E+03   0.188832E+02   0.435038E+15   0.302547E+35   0.104998E+04   0.158245E+03   0.111712E+00
   0.169359E+01   0.250652E+00   0.244296E+03   0.189591E+02   0.435507E+15   0.303763E+35   0.105028E+04   0.158326E+03   0.112000E+00
   0.169529E+01   0.250903E+00   0.244560E+03   0.190353E+02   0.435977E+15   0.304983E+35   0.105059E+04   0.158408E+03   0.112289E+00
   0.169698E+01   0.251154E+00   0.244824E+03   0.191118E+02   0.436447E+15   0.306208E+35   0.105089E+04   0.158489E+03   0.112579E+00
   0.169868E+01   0.251405E+00   0.245088E+03   0.191885E+02   0.436918E+15   0.307439E+35   0.105120E+04   0.158571E+03   0.112870E+00
   0.170038E+01   0.251657E+00   0.245352E+03   0.192656E+02   0.437389E+15   0.308674E+35   0.105150E+04   0.158652E+03   0.113161E+00
   0.170208E+01   0.251908E+00   0.245617E+03   0.193430E+02   0.437861E+15   0.309914E+35   0.105181E+04   0.158733E+03   0.113454E+00
   0.170379E+01   0.252160E+00   0.245882E+03   0.194207E+02   0.438334E+15   0.311159E+35   0.105212E+04   0.158815E+03   0.113747E+00
   0.170549E+01   0.252413E+00   0.246148E+03   0.194988E+02   0.438807E+15   0.312409E+35   0.105243E+04   0.158896E+03   0.114041E+00
   0.170720E+01   0.252665E+00   0.246413E+03   0.195771E+02   0.439281E+15   0.313664E+35   0.105274E+04   0.158978E+03   0.114335E+00
   0.170891E+01   0.252918E+00   0.246680E+03   0.196557E+02   0.439756E+15   0.314924E+35   0.105305E+04   0.159060E+03   0.114631E+00
   0.171061E+01   0.253171E+00   0.246946E+03   0.197347E+02   0.440231E+15   0.316189E+35   0.105336E+04   0.159141E+03   0.114927E+00
   0.171233E+01   0.253424E+00   0.247213E+03   0.198140E+02   0.440707E+15   0.317459E+35   0.105368E+04   0.159223E+03   0.115224E+00
   0.171404E+01   0.253678E+00   0.247480E+03   0.198935E+02   0.441183E+15   0.318734E+35   0.105399E+04   0.159305E+03   0.115522E+00
   0.171575E+01   0.253932E+00   0.247748E+03   0.199734E+02   0.441660E+15   0.320014E+35   0.105430E+04   0.159386E+03   0.115821E+00
   0.171747E+01   0.254186E+00   0.248016E+03   0.200537E+02   0.442137E+15   0.321300E+35   0.105462E+04   0.159468E+03   0.116120E+00
   0.171919E+01   0.254440E+00   0.248284E+03   0.201342E+02   0.442616E+15   0.322590E+35   0.105494E+04   0.159550E+03   0.116420E+00
   0.172091E+01   0.254695E+00   0.248552E+03   0.202150E+02   0.443094E+15   0.323885E+35   0.105525E+04   0.159632E+03   0.116721E+00
   0.172263E+01   0.254949E+00   0.248821E+03   0.202962E+02   0.443574E+15   0.325186E+35   0.105557E+04   0.159713E+03   0.117023E+00
   0.172435E+01   0.255204E+00   0.249091E+03   0.203777E+02   0.444054E+15   0.326492E+35   0.105589E+04   0.159795E+03   0.117326E+00
   0.172608E+01   0.255460E+00   0.249360E+03   0.204595E+02   0.444535E+15   0.327803E+35   0.105621E+04   0.159877E+03   0.117629E+00
   0.172781E+01   0.255715E+00   0.249630E+03   0.205417E+02   0.445016E+15   0.329119E+35   0.105653E+04   0.159959E+03   0.117934E+00
   0.172954E+01   0.255971E+00   0.249901E+03   0.206241E+02   0.445498E+15   0.330440E+35   0.105686E+04   0.160041E+03   0.118239E+00
   0.173127E+01   0.256227E+00   0.250171E+03   0.207069E+02   0.445981E+15   0.331767E+35   0.105718E+04   0.160123E+03   0.118544E+00
   0.173300E+01   0.256484E+00   0.250442E+03   0.207901E+02   0.446464E+15   0.333098E+35   0.105750E+04   0.160205E+03   0.118851E+00
   0.173473E+01   0.256740E+00   0.250714E+03   0.208735E+02   0.446948E+15   0.334435E+35   0.105783E+04   0.160287E+03   0.119159E+00
   0.173647E+01   0.256997E+00   0.250986E+03   0.209573E+02   0.447432E+15   0.335778E+35   0.105816E+04   0.160369E+03   0.119467E+00
   0.173820E+01   0.257254E+00   0.251258E+03   0.210414E+02   0.447917E+15   0.337125E+35   0.105848E+04   0.160451E+03   0.119776E+00
   0.173994E+01   0.257512E+00   0.251530E+03   0.211258E+02   0.448403E+15   0.338478E+35   0.105881E+04   0.160533E+03   0.120086E+00
   0.174168E+01   0.257769E+00   0.251803E+03   0.212106E+02   0.448889E+15   0.339836E+35   0.105914E+04   0.160615E+03   0.120397E+00
   0.174343E+01   0.258027E+00   0.252076E+03   0.212957E+02   0.449376E+15   0.341200E+35   0.105947E+04   0.160697E+03   0.120708E+00
   0.174517E+01   0.258285E+00   0.252350E+03   0.213812E+02   0.449864E+15   0.342569E+35   0.105980E+04   0.160779E+03   0.121020E+00
   0.174692E+01   0.258544E+00   0.252624E+03   0.214669E+02   0.450352E+15   0.343943E+35   0.106013E+04   0.160861E+03   0.121334E+00
   0.174867E+01   0.258802E+00   0.252898E+03   0.215530E+02   0.450841E+15   0.345323E+35   0.106047E+04   0.160944E+03   0.121647E+00
   0.175041E+01   0.259061E+00   0.253173E+03   0.216395E+02   0.451331E+15   0.346708E+35   0.106080E+04   0.161026E+03   0.121962E+00
   0.175217E+01   0.259321E+00   0.253448E+03   0.217263E+02   0.451821E+15   0.348098E+35   0.106113E+04   0.161108E+03   0.122278E+00
   0.175392E+01   0.259580E+00   0.253723E+03   0.218134E+02   0.452312E+15   0.349494E+35   0.106147E+04   0.161190E+03   0.122594E+00
   0.175567E+01   0.259840E+00   0.253999E+03   0.219009E+02   0.452803E+15   0.350896E+35   0.106181E+04   0.161273E+03   0.122911E+00
   0.175743E+01   0.260100E+00   0.254275E+03   0.219887E+02   0.453296E+15   0.352302E+35   0.106214E+04   0.161355E+03   0.123230E+00
   0.175919E+01   0.260360E+00   0.254551E+03   0.220768E+02   0.453788E+15   0.353715E+35   0.106248E+04   0.161437E+03   0.123548E+00
   0.176095E+01   0.260620E+00   0.254828E+03   0.221653E+02   0.454282E+15   0.355133E+35   0.106282E+04   0.161520E+03   0.123868E+00
   0.176271E+01   0.260881E+00   0.255105E+03   0.222542E+02   0.454776E+15   0.356556E+35   0.106316E+04   0.161602E+03   0.124189E+00
   0.176447E+01   0.261142E+00   0.255383E+03   0.223433E+02   0.455271E+15   0.357985E+35   0.106351E+04   0.161684E+03   0.124510E+00
   0.176624E+01   0.261403E+00   0.255661E+03   0.224329E+02   0.455766E+15   0.359419E+35   0.106385E+04   0.161767E+03   0.124832E+00
   0.176801E+01   0.261665E+00   0.255939E+03   0.225228E+02   0.456262E+15   0.360860E+35   0.106419E+04   0.161849E+03   0.125155E+00
   0.176978E+01   0.261927E+00   0.256218E+03   0.226130E+02   0.456759E+15   0.362305E+35   0.106454E+04   0.161932E+03   0.125479E+00
   0.177155E+01   0.262189E+00   0.256497E+03   0.227036E+02   0.457256E+15   0.363757E+35   0.106488E+04   0.162014E+03   0.125804E+00
   0.177332E+01   0.262451E+00   0.256776E+03   0.227945E+02   0.457755E+15   0.365213E+35   0.106523E+04   0.162097E+03   0.126129E+00
   0.177509E+01   0.262714E+00   0.257056E+03   0.228858E+02   0.458253E+15   0.366676E+35   0.106558E+04   0.162179E+03   0.126455E+00
   0.177687E+01   0.262977E+00   0.257336E+03   0.229774E+02   0.458753E+15   0.368144E+35   0.106592E+04   0.162262E+03   0.126782E+00
   0.177865E+01   0.263240E+00   0.257616E+03   0.230694E+02   0.459253E+15   0.369618E+35   0.106627E+04   0.162344E+03   0.127110E+00
   0.178043E+01   0.263503E+00   0.257897E+03   0.231618E+02   0.459753E+15   0.371098E+35   0.106663E+04   0.162427E+03   0.127439E+00
   0.178221E+01   0.263767E+00   0.258178E+03   0.232545E+02   0.460255E+15   0.372583E+35   0.106698E+04   0.162509E+03   0.127769E+00
   0.178399E+01   0.264031E+00   0.258460E+03   0.233475E+02   0.460757E+15   0.374074E+35   0.106733E+04   0.162592E+03   0.128099E+00
   0.178578E+01   0.264295E+00   0.258742E+03   0.234410E+02   0.461260E+15   0.375571E+35   0.106768E+04   0.162675E+03   0.128431E+00
   0.178756E+01   0.264559E+00   0.259024E+03   0.235347E+02   0.461763E+15   0.377074E+35   0.106804E+04   0.162757E+03   0.128763E+00
   0.178935E+01   0.264824E+00   0.259307E+03   0.236289E+02   0.462267E+15   0.378582E+35   0.106839E+04   0.162840E+03   0.129096E+00
   0.179114E+01   0.265089E+00   0.259590E+03   0.237234E+02   0.462772E+15   0.380096E+35   0.106875E+04   0.162923E+03   0.129430E+00
   0.179293E+01   0.265354E+00   0.259874E+03   0.238183E+02   0.463277E+15   0.381616E+35   0.106911E+04   0.163005E+03   0.129764E+00
   0.179473E+01   0.265620E+00   0.260158E+03   0.239135E+02   0.463783E+15   0.383142E+35   0.106947E+04   0.163088E+03   0.130100E+00
   0.179652E+01   0.265885E+00   0.260442E+03   0.240091E+02   0.464290E+15   0.384674E+35   0.106983E+04   0.163171E+03   0.130436E+00
   0.179832E+01   0.266151E+00   0.260727E+03   0.241051E+02   0.464797E+15   0.386212E+35   0.107019E+04   0.163253E+03   0.130773E+00
   0.180012E+01   0.266418E+00   0.261012E+03   0.242014E+02   0.465305E+15   0.387755E+35   0.107055E+04   0.163336E+03   0.131111E+00
   0.180192E+01   0.266684E+00   0.261297E+03   0.242981E+02   0.465814E+15   0.389304E+35   0.107091E+04   0.163419E+03   0.131450E+00
   0.180372E+01   0.266951E+00   0.261583E+03   0.243952E+02   0.466324E+15   0.390860E+35   0.107128E+04   0.163502E+03   0.131790E+00
   0.180553E+01   0.267218E+00   0.261869E+03   0.244926E+02   0.466834E+15   0.392421E+35   0.107164E+04   0.163585E+03   0.132130E+00
   0.180733E+01   0.267485E+00   0.262156E+03   0.245905E+02   0.467345E+15   0.393988E+35   0.107201E+04   0.163667E+03   0.132472E+00
   0.180914E+01   0.267753E+00   0.262442E+03   0.246887E+02   0.467856E+15   0.395562E+35   0.107237E+04   0.163750E+03   0.132814E+00
   0.181095E+01   0.268021E+00   0.262730E+03   0.247872E+02   0.468368E+15   0.397141E+35   0.107274E+04   0.163833E+03   0.133157E+00
   0.181276E+01   0.268289E+00   0.263018E+03   0.248862E+02   0.468881E+15   0.398726E+35   0.107311E+04   0.163916E+03   0.133501E+00
   0.181458E+01   0.268558E+00   0.263306E+03   0.249855E+02   0.469395E+15   0.400317E+35   0.107348E+04   0.163999E+03   0.133845E+00
   0.181639E+01   0.268826E+00   0.263594E+03   0.250852E+02   0.469909E+15   0.401915E+35   0.107385E+04   0.164082E+03   0.134191E+00
   0.181821E+01   0.269095E+00   0.263883E+03   0.251853E+02   0.470424E+15   0.403518E+35   0.107422E+04   0.164165E+03   0.134537E+00
   0.182003E+01   0.269364E+00   0.264172E+03   0.252857E+02   0.470940E+15   0.405128E+35   0.107460E+04   0.164247E+03   0.134885E+00
   0.182185E+01   0.269634E+00   0.264462E+03   0.253865E+02   0.471456E+15   0.406743E+35   0.107497E+04   0.164330E+03   0.135233E+00
   0.182367E+01   0.269904E+00   0.264752E+03   0.254878E+02   0.471973E+15   0.408365E+35   0.107535E+04   0.164413E+03   0.135582E+00
   0.182550E+01   0.270174E+00   0.265042E+03   0.255894E+02   0.472491E+15   0.409993E+35   0.107572E+04   0.164496E+03   0.135932E+00
   0.182732E+01   0.270444E+00   0.265333E+03   0.256914E+02   0.473009E+15   0.411627E+35   0.107610E+04   0.164579E+03   0.136282E+00
   0.182915E+01   0.270715E+00   0.265624E+03   0.257937E+02   0.473529E+15   0.413267E+35   0.107648E+04   0.164662E+03   0.136634E+00
   0.183098E+01   0.270985E+00   0.265916E+03   0.258965E+02   0.474049E+15   0.414914E+35   0.107686E+04   0.164745E+03   0.136986E+00
   0.183281E+01   0.271257E+00   0.266208E+03   0.259996E+02   0.474569E+15   0.416566E+35   0.107724E+04   0.164828E+03   0.137339E+00
   0.183465E+01   0.271528E+00   0.266500E+03   0.261032E+02   0.475090E+15   0.418225E+35   0.107762E+04   0.164911E+03   0.137694E+00
   0.183648E+01   0.271800E+00   0.266793E+03   0.262071E+02   0.475612E+15   0.419890E+35   0.107800E+04   0.164994E+03   0.138049E+00
   0.183832E+01   0.272072E+00   0.267086E+03   0.263114E+02   0.476135E+15   0.421562E+35   0.107838E+04   0.165077E+03   0.138404E+00
   0.184016E+01   0.272344E+00   0.267380E+03   0.264161E+02   0.476658E+15   0.423239E+35   0.107877E+04   0.165160E+03   0.138761E+00
   0.184200E+01   0.272616E+00   0.267674E+03   0.265212E+02   0.477183E+15   0.424923E+35   0.107916E+04   0.165243E+03   0.139118E+00
   0.184384E+01   0.272889E+00   0.267968E+03   0.266267E+02   0.477707E+15   0.426613E+35   0.107954E+04   0.165327E+03   0.139477E+00
   0.184569E+01   0.273162E+00   0.268263E+03   0.267326E+02   0.478233E+15   0.428310E+35   0.107993E+04   0.165410E+03   0.139836E+00
   0.184754E+01   0.273435E+00   0.268558E+03   0.268389E+02   0.478759E+15   0.430013E+35   0.108032E+04   0.165493E+03   0.140196E+00
   0.184938E+01   0.273709E+00   0.268854E+03   0.269456E+02   0.479286E+15   0.431722E+35   0.108071E+04   0.165576E+03   0.140557E+00
   0.185123E+01   0.273983E+00   0.269150E+03   0.270527E+02   0.479814E+15   0.433438E+35   0.108110E+04   0.165659E+03   0.140919E+00
   0.185309E+01   0.274257E+00   0.269446E+03   0.271602E+02   0.480342E+15   0.435160E+35   0.108149E+04   0.165742E+03   0.141281E+00
   0.185494E+01   0.274531E+00   0.269743E+03   0.272681E+02   0.480871E+15   0.436889E+35   0.108189E+04   0.165825E+03   0.141645E+00
   0.185680E+01   0.274806E+00   0.270040E+03   0.273763E+02   0.481401E+15   0.438624E+35   0.108228E+04   0.165908E+03   0.142009E+00
   0.185865E+01   0.275081E+00   0.270338E+03   0.274850E+02   0.481932E+15   0.440365E+35   0.108267E+04   0.165991E+03   0.142374E+00
   0.186051E+01   0.275356E+00   0.270636E+03   0.275941E+02   0.482463E+15   0.442113E+35   0.108307E+04   0.166075E+03   0.142741E+00
   0.186238E+01   0.275632E+00   0.270935E+03   0.277036E+02   0.482995E+15   0.443868E+35   0.108347E+04   0.166158E+03   0.143107E+00
   0.186424E+01   0.275907E+00   0.271233E+03   0.278136E+02   0.483528E+15   0.445629E+35   0.108387E+04   0.166241E+03   0.143475E+00
   0.186610E+01   0.276183E+00   0.271533E+03   0.279239E+02   0.484061E+15   0.447396E+35   0.108427E+04   0.166324E+03   0.143844E+00
   0.186797E+01   0.276460E+00   0.271832E+03   0.280346E+02   0.484595E+15   0.449170E+35   0.108467E+04   0.166407E+03   0.144213E+00
   0.186984E+01   0.276736E+00   0.272132E+03   0.281457E+02   0.485130E+15   0.450951E+35   0.108507E+04   0.166490E+03   0.144584E+00
   0.187171E+01   0.277013E+00   0.272433E+03   0.282573E+02   0.485666E+15   0.452738E+35   0.108547E+04   0.166574E+03   0.144955E+00
   0.187358E+01   0.277290E+00   0.272734E+03   0.283692E+02   0.486202E+15   0.454532E+35   0.108588E+04   0.166657E+03   0.145327E+00
   0.187546E+01   0.277568E+00   0.273035E+03   0.284816E+02   0.486740E+15   0.456332E+35   0.108628E+04   0.166740E+03   0.145700E+00
   0.187733E+01   0.277845E+00   0.273337E+03   0.285944E+02   0.487277E+15   0.458139E+35   0.108669E+04   0.166823E+03   0.146074E+00
   0.187921E+01   0.278123E+00   0.273639E+03   0.287076E+02   0.487816E+15   0.459953E+35   0.108709E+04   0.166906E+03   0.146448E+00
   0.188109E+01   0.278402E+00   0.273941E+03   0.288212E+02   0.488355E+15   0.461774E+35   0.108750E+04   0.166990E+03   0.146824E+00
   0.188297E+01   0.278680E+00   0.274244E+03   0.289353E+02   0.488896E+15   0.463601E+35   0.108791E+04   0.167073E+03   0.147200E+00
   0.188486E+01   0.278959E+00   0.274548E+03   0.290497E+02   0.489436E+15   0.465435E+35   0.108832E+04   0.167156E+03   0.147578E+00
   0.188674E+01   0.279238E+00   0.274852E+03   0.291646E+02   0.489978E+15   0.467275E+35   0.108873E+04   0.167239E+03   0.147956E+00
   0.188863E+01   0.279518E+00   0.275156E+03   0.292799E+02   0.490520E+15   0.469122E+35   0.108915E+04   0.167322E+03   0.148335E+00
   0.189052E+01   0.279797E+00   0.275461E+03   0.293956E+02   0.491063E+15   0.470977E+35   0.108956E+04   0.167406E+03   0.148715E+00
   0.189241E+01   0.280077E+00   0.275766E+03   0.295118E+02   0.491607E+15   0.472837E+35   0.108998E+04   0.167489E+03   0.149095E+00
   0.189431E+01   0.280357E+00   0.276071E+03   0.296283E+02   0.492152E+15   0.474705E+35   0.109039E+04   0.167572E+03   0.149477E+00
   0.189620E+01   0.280638E+00   0.276377E+03   0.297453E+02   0.492697E+15   0.476580E+35   0.109081E+04   0.167655E+03   0.149859E+00
   0.189810E+01   0.280919E+00   0.276683E+03   0.298627E+02   0.493243E+15   0.478461E+35   0.109123E+04   0.167739E+03   0.150243E+00
   0.190000E+01   0.281200E+00   0.276990E+03   0.299806E+02   0.493790E+15   0.480349E+35   0.109165E+04   0.167822E+03   0.150627E+00
   0.190190E+01   0.281481E+00   0.277297E+03   0.300989E+02   0.494338E+15   0.482244E+35   0.109207E+04   0.167905E+03   0.151012E+00
   0.190380E+01   0.281763E+00   0.277605E+03   0.302176E+02   0.494886E+15   0.484146E+35   0.109249E+04   0.167988E+03   0.151398E+00
   0.190571E+01   0.282045E+00   0.277913E+03   0.303367E+02   0.495435E+15   0.486055E+35   0.109291E+04   0.168072E+03   0.151785E+00
   0.190761E+01   0.282327E+00   0.278221E+03   0.304563E+02   0.495985E+15   0.487971E+35   0.109333E+04   0.168155E+03   0.152172E+00
   0.190952E+01   0.282609E+00   0.278530E+03   0.305763E+02   0.496536E+15   0.489893E+35   0.109376E+04   0.168238E+03   0.152561E+00
   0.191143E+01   0.282892E+00   0.278840E+03   0.306967E+02   0.497087E+15   0.491823E+35   0.109419E+04   0.168321E+03   0.152950E+00
   0.191334E+01   0.283175E+00   0.279149E+03   0.308176E+02   0.497640E+15   0.493760E+35   0.109461E+04   0.168405E+03   0.153340E+00
   0.191526E+01   0.283458E+00   0.279460E+03   0.309389E+02   0.498192E+15   0.495704E+35   0.109504E+04   0.168488E+03   0.153731E+00
   0.191718E+01   0.283742E+00   0.279770E+03   0.310607E+02   0.498746E+15   0.497654E+35   0.109547E+04   0.168571E+03   0.154123E+00
   0.191909E+01   0.284026E+00   0.280081E+03   0.311829E+02   0.499301E+15   0.499612E+35   0.109590E+04   0.168655E+03   0.154516E+00
   0.192101E+01   0.284310E+00   0.280393E+03   0.313055E+02   0.499856E+15   0.501577E+35   0.109633E+04   0.168738E+03   0.154910E+00
   0.192294E+01   0.284594E+00   0.280705E+03   0.314286E+02   0.500412E+15   0.503549E+35   0.109676E+04   0.168821E+03   0.155305E+00
   0.192486E+01   0.284879E+00   0.281017E+03   0.315521E+02   0.500969E+15   0.505527E+35   0.109720E+04   0.168904E+03   0.155700E+00
   0.192679E+01   0.285164E+00   0.281330E+03   0.316760E+02   0.501526E+15   0.507514E+35   0.109763E+04   0.168988E+03   0.156096E+00
   0.192871E+01   0.285449E+00   0.281643E+03   0.318004E+02   0.502085E+15   0.509507E+35   0.109807E+04   0.169071E+03   0.156493E+00
   0.193064E+01   0.285735E+00   0.281957E+03   0.319253E+02   0.502644E+15   0.511507E+35   0.109851E+04   0.169154E+03   0.156891E+00
   0.193257E+01   0.286021E+00   0.282271E+03   0.320506E+02   0.503204E+15   0.513514E+35   0.109894E+04   0.169237E+03   0.157290E+00
   0.193451E+01   0.286307E+00   0.282585E+03   0.321763E+02   0.503765E+15   0.515529E+35   0.109938E+04   0.169321E+03   0.157690E+00
   0.193644E+01   0.286594E+00   0.282900E+03   0.323025E+02   0.504326E+15   0.517551E+35   0.109982E+04   0.169404E+03   0.158091E+00
   0.193838E+01   0.286880E+00   0.283216E+03   0.324292E+02   0.504889E+15   0.519580E+35   0.110027E+04   0.169487E+03   0.158492E+00
   0.194032E+01   0.287167E+00   0.283532E+03   0.325563E+02   0.505452E+15   0.521616E+35   0.110071E+04   0.169570E+03   0.158895E+00
   0.194226E+01   0.287455E+00   0.283848E+03   0.326838E+02   0.506016E+15   0.523660E+35   0.110115E+04   0.169654E+03   0.159298E+00
   0.194420E+01   0.287742E+00   0.284165E+03   0.328118E+02   0.506580E+15   0.525711E+35   0.110160E+04   0.169737E+03   0.159702E+00
   0.194615E+01   0.288030E+00   0.284482E+03   0.329403E+02   0.507146E+15   0.527769E+35   0.110204E+04   0.169820E+03   0.160107E+00
   0.194810E+01   0.288318E+00   0.284799E+03   0.330692E+02   0.507712E+15   0.529834E+35   0.110249E+04   0.169903E+03   0.160513E+00
   0.195005E+01   0.288607E+00   0.285118E+03   0.331985E+02   0.508279E+15   0.531907E+35   0.110294E+04   0.169987E+03   0.160919E+00
   0.195200E+01   0.288896E+00   0.285436E+03   0.333284E+02   0.508847E+15   0.533987E+35   0.110339E+04   0.170070E+03   0.161327E+00
   0.195395E+01   0.289185E+00   0.285755E+03   0.334586E+02   0.509416E+15   0.536074E+35   0.110384E+04   0.170153E+03   0.161735E+00
   0.195590E+01   0.289474E+00   0.286074E+03   0.335894E+02   0.509985E+15   0.538169E+35   0.110429E+04   0.170236E+03   0.162145E+00
   0.195786E+01   0.289764E+00   0.286394E+03   0.337206E+02   0.510555E+15   0.540271E+35   0.110475E+04   0.170319E+03   0.162555E+00
   0.195982E+01   0.290053E+00   0.286715E+03   0.338523E+02   0.511126E+15   0.542381E+35   0.110520E+04   0.170403E+03   0.162966E+00
   0.196178E+01   0.290344E+00   0.287036E+03   0.339844E+02   0.511698E+15   0.544498E+35   0.110566E+04   0.170486E+03   0.163378E+00
   0.196374E+01   0.290634E+00   0.287357E+03   0.341170E+02   0.512271E+15   0.546622E+35   0.110611E+04   0.170569E+03   0.163791E+00
   0.196571E+01   0.290925E+00   0.287678E+03   0.342501E+02   0.512844E+15   0.548754E+35   0.110657E+04   0.170652E+03   0.164204E+00
   0.196768E+01   0.291216E+00   0.288001E+03   0.343836E+02   0.513419E+15   0.550894E+35   0.110703E+04   0.170735E+03   0.164619E+00
   0.196964E+01   0.291507E+00   0.288323E+03   0.345176E+02   0.513994E+15   0.553041E+35   0.110749E+04   0.170819E+03   0.165034E+00
   0.197161E+01   0.291799E+00   0.288646E+03   0.346520E+02   0.514570E+15   0.555195E+35   0.110795E+04   0.170902E+03   0.165450E+00
   0.197359E+01   0.292091E+00   0.288970E+03   0.347870E+02   0.515146E+15   0.557357E+35   0.110841E+04   0.170985E+03   0.165867E+00
   0.197556E+01   0.292383E+00   0.289294E+03   0.349224E+02   0.515724E+15   0.559527E+35   0.110887E+04   0.171068E+03   0.166285E+00
   0.197754E+01   0.292676E+00   0.289618E+03   0.350583E+02   0.516302E+15   0.561704E+35   0.110934E+04   0.171151E+03   0.166704E+00
   0.197952E+01   0.292969E+00   0.289943E+03   0.351946E+02   0.516882E+15   0.563888E+35   0.110980E+04   0.171234E+03   0.167124E+00
   0.198150E+01   0.293262E+00   0.290269E+03   0.353315E+02   0.517462E+15   0.566081E+35   0.111027E+04   0.171318E+03   0.167544E+00
   0.198348E+01   0.293555E+00   0.290594E+03   0.354688E+02   0.518043E+15   0.568281E+35   0.111074E+04   0.171401E+03   0.167966E+00
   0.198546E+01   0.293849E+00   0.290921E+03   0.356065E+02   0.518624E+15   0.570488E+35   0.111121E+04   0.171484E+03   0.168388E+00
   0.198745E+01   0.294143E+00   0.291247E+03   0.357448E+02   0.519207E+15   0.572703E+35   0.111168E+04   0.171567E+03   0.168811E+00
   0.198944E+01   0.294437E+00   0.291575E+03   0.358835E+02   0.519790E+15   0.574926E+35   0.111215E+04   0.171650E+03   0.169235E+00
   0.199143E+01   0.294732E+00   0.291902E+03   0.360228E+02   0.520374E+15   0.577157E+35   0.111262E+04   0.171733E+03   0.169660E+00
   0.199342E+01   0.295026E+00   0.292230E+03   0.361625E+02   0.520959E+15   0.579395E+35   0.111310E+04   0.171816E+03   0.170086E+00
   0.199542E+01   0.295322E+00   0.292559E+03   0.363027E+02   0.521545E+15   0.581641E+35   0.111357E+04   0.171899E+03   0.170512E+00
   0.199741E+01   0.295617E+00   0.292888E+03   0.364433E+02   0.522132E+15   0.583895E+35   0.111405E+04   0.171982E+03   0.170940E+00
   0.199941E+01   0.295913E+00   0.293218E+03   0.365845E+02   0.522719E+15   0.586156E+35   0.111452E+04   0.172065E+03   0.171368E+00
   0.200141E+01   0.296209E+00   0.293548E+03   0.367261E+02   0.523308E+15   0.588426E+35   0.111500E+04   0.172148E+03   0.171797E+00
   0.200341E+01   0.296505E+00   0.293878E+03   0.368682E+02   0.523897E+15   0.590703E+35   0.111548E+04   0.172231E+03   0.172227E+00
   0.200542E+01   0.296802E+00   0.294209E+03   0.370108E+02   0.524487E+15   0.592988E+35   0.111596E+04   0.172315E+03   0.172658E+00
   0.200743E+01   0.297099E+00   0.294541E+03   0.371539E+02   0.525078E+15   0.595281E+35   0.111645E+04   0.172398E+03   0.173090E+00
   0.200943E+01   0.297396E+00   0.294873E+03   0.372975E+02   0.525670E+15   0.597581E+35   0.111693E+04   0.172481E+03   0.173522E+00
   0.201144E+01   0.297694E+00   0.295205E+03   0.374416E+02   0.526262E+15   0.599890E+35   0.111741E+04   0.172564E+03   0.173956E+00
   0.201346E+01   0.297992E+00   0.295538E+03   0.375862E+02   0.526856E+15   0.602206E+35   0.111790E+04   0.172647E+03   0.174390E+00
   0.201547E+01   0.298290E+00   0.295871E+03   0.377313E+02   0.527450E+15   0.604530E+35   0.111838E+04   0.172730E+03   0.174825E+00
   0.201749E+01   0.298588E+00   0.296205E+03   0.378768E+02   0.528045E+15   0.606863E+35   0.111887E+04   0.172812E+03   0.175261E+00
   0.201951E+01   0.298887E+00   0.296540E+03   0.380229E+02   0.528641E+15   0.609203E+35   0.111936E+04   0.172895E+03   0.175698E+00
